Iteration,Fold #,Sample ID,Actual,Raw,BNorm
1,1,4,0,0,0
1,1,9,0,0,0
1,1,11,1,0,0
1,1,13,1,0,1
1,1,22,0,0,1
1,1,38,1,0,0
1,1,39,0,0,0
1,1,48,0,0,0
1,1,49,0,0,0
1,1,54,1,0,0
1,1,56,1,0,0
1,1,60,1,0,1
1,1,73,0,0,1
1,1,88,1,0,0
1,1,89,0,0,0
1,1,92,1,0,0
1,1,100,0,0,1
1,1,101,0,0,0
1,1,104,1,0,0
1,1,111,1,0,1
1,1,112,0,0,0
1,1,116,0,0,0
1,1,124,1,0,0
1,1,127,0,0,0
1,1,139,0,0,0
1,1,146,1,0,0
1,1,159,0,0,1
1,1,161,0,0,1
1,1,163,0,0,0
1,1,167,0,0,1
1,1,175,1,0,0
1,1,179,1,0,0
1,1,183,0,0,1
1,1,185,1,0,1
1,1,187,0,0,0
1,1,188,1,0,0
1,1,192,1,0,0
1,1,194,0,0,0
1,1,199,0,0,0
1,1,203,0,0,0
1,1,205,0,0,0
1,1,207,0,0,0
1,2,1,0,0,0
1,2,2,1,0,0
1,2,3,0,0,0
1,2,8,0,0,0
1,2,15,0,0,0
1,2,26,0,0,0
1,2,32,0,0,1
1,2,34,0,0,0
1,2,43,0,0,1
1,2,46,0,0,1
1,2,47,1,0,0
1,2,51,0,0,1
1,2,55,0,0,0
1,2,57,1,0,0
1,2,61,1,0,1
1,2,62,0,0,0
1,2,66,0,0,1
1,2,68,1,0,0
1,2,75,0,0,1
1,2,81,0,0,0
1,2,86,0,0,1
1,2,90,0,0,1
1,2,106,1,0,1
1,2,110,1,0,0
1,2,118,0,0,0
1,2,122,0,0,1
1,2,128,1,0,0
1,2,130,0,0,1
1,2,132,0,0,0
1,2,135,1,0,0
1,2,138,0,0,0
1,2,140,0,0,0
1,2,142,1,0,1
1,2,147,0,0,0
1,2,149,1,0,0
1,2,156,1,0,1
1,2,165,0,0,0
1,2,174,1,0,1
1,2,177,1,0,0
1,2,197,1,0,0
1,2,201,0,0,1
1,2,204,0,0,1
1,3,0,0,0,1
1,3,5,0,0,0
1,3,10,0,0,1
1,3,12,0,0,1
1,3,14,1,0,0
1,3,27,1,0,1
1,3,28,0,0,1
1,3,33,0,0,0
1,3,40,0,0,0
1,3,44,0,0,1
1,3,52,0,0,1
1,3,59,1,0,1
1,3,64,0,0,0
1,3,69,0,0,0
1,3,70,0,0,1
1,3,72,0,0,1
1,3,79,0,0,1
1,3,83,1,0,0
1,3,84,1,0,0
1,3,91,0,0,1
1,3,107,1,0,1
1,3,113,0,0,0
1,3,119,0,0,1
1,3,123,0,0,0
1,3,125,0,0,0
1,3,131,0,0,0
1,3,137,1,0,0
1,3,144,1,0,0
1,3,148,1,0,1
1,3,151,0,0,1
1,3,158,0,0,0
1,3,160,0,0,0
1,3,166,1,0,0
1,3,170,1,0,0
1,3,178,0,0,1
1,3,181,0,0,0
1,3,182,0,0,0
1,3,189,0,0,0
1,3,191,0,0,0
1,3,195,0,0,1
1,3,202,0,0,0
